Date,Close
2012-03-01,1131.4
2012-02-01,1118.8
2012-01-01,1125.45
2011-12-01,1158.5
2011-11-01,1140.05
2011-10-01,1111.85
2011-09-01,1180.9
2011-08-01,1064.9
2011-07-01,1054
2011-06-01,1066.3
2011-05-01,1078
2011-04-01,1068
2011-03-01,1095.5
2011-02-01,1124.65
2011-01-01,1119.25
2010-12-01,1120.5
2010-11-01,1157
2010-10-01,1124.5
2010-09-01,1140.25
2010-08-01,1199
2010-07-01,1182.75
2010-06-01,1223.25
2010-05-01,1202.12
2010-04-01,1108.5
2010-03-01,1132.8
2010-02-01,1160
2010-01-01,1158.9
2009-12-01,1166.08
2009-11-01,1163.4
2009-10-01,1186.6
2009-09-01,1176.5
2009-08-01,1249.5
2009-07-01,1222.7
2009-06-01,1274.8
2009-05-01,1258.25
2009-04-01,1278
2009-03-01,1374.05
2009-02-01,1533.45
2009-01-01,1381.5
2008-12-01,1263
2008-11-01,1469
2008-10-01,1282.5
2008-09-01,1206.95
2008-08-01,1089.25
2008-07-01,1012.25
2008-06-01,1051
2008-05-01,1028.25
2008-04-01,1003
2008-03-01,990.35
2008-02-01,939.05
2008-01-01,943.85
2007-12-01,936
2007-11-01,921.15
2007-10-01,900.8
2007-09-01,915.15
2007-08-01,938.35
2007-07-01,919.35
2007-06-01,923.9
2007-05-01,927.75
2007-04-01,930.85
2007-03-01,940.85
2007-02-01,941.7
2007-01-01,941.5
2006-12-01,930
2006-11-01,929.35
2006-10-01,942.25
2006-09-01,946.25
2006-08-01,961.3
2006-07-01,955.15
2006-06-01,948.75
2006-05-01,945.7
2006-04-01,943.2
2006-03-01,971.6
2006-02-01,971
2006-01-01,959.87
2005-12-01,1007.5
2005-11-01,1037.5
2005-10-01,1043.4
2005-09-01,1043.5
2005-08-01,1038.5
2005-07-01,1023.3
2005-06-01,1035.5
2005-05-01,1007.5
2005-04-01,997.1
2005-03-01,1017.5
2005-02-01,1004.5
2005-01-01,1026.5
2004-12-01,1035.2
2004-11-01,1048.5
2004-10-01,1119.5
2004-09-01,1151.5
2004-08-01,1151.85
2004-07-01,1166.5
2004-06-01,1154.5
2004-05-01,1160.05
2004-04-01,1173.35
2004-03-01,1143
2004-02-01,1178.5
2004-01-01,1171.5
2003-12-01,1192.5
2003-11-01,1202.05
2003-10-01,1183.5
2003-09-01,1149
2003-08-01,1174.5
2003-07-01,1180.5
2003-06-01,1195
2003-05-01,1209
2003-04-01,1214.5
2003-03-01,1251
2003-02-01,1193.65
2003-01-01,1164
2002-12-01,1186.05
2002-11-01,1202.85
2002-10-01,1224
2002-09-01,1222.7
2002-08-01,1196.9
2002-07-01,1178
2002-06-01,1203
2002-05-01,1214.3
2002-04-01,1289
2002-03-01,1320.9
2002-02-01,1318.8
2002-01-01,1309.4
2001-12-01,1313.5
2001-11-01,1268
2001-10-01,1291
2001-09-01,1304
2001-08-01,1280
2001-07-01,1298
2001-06-01,1300.5
2001-05-01,1281
2001-04-01,1317
2001-03-01,1331
2001-02-01,1253.95
2001-01-01,1257
2000-12-01,1265
2000-11-01,1215.5
2000-10-01,1137.5
2000-09-01,1115.15
2000-08-01,1108.75
2000-07-01,1116.75
2000-06-01,1115.03
2000-05-01,1129.5
2000-04-01,1109.75
2000-03-01,1105.25
2000-02-01,1131.11
2000-01-01,1123.5
