Date,WBA,LEG,BEN,SWK,XOM,CVX,BKH,NFG,CAT,TGT,ITW,EMR,APD,PG,JNJ,ATO,GPC,GD,AOS,HRL,LOW,PPG,PH,ABM,ADM,ABT,CWT,ADP,TNC,DOV
2011-04-19,42.36999893,22.96999931,40.45999908,76,83.80000305,105.4000015,32.63999939,71.08999634,106.0999985,49.81999969,52.90000153,56.72999954,85.16188812,63.86000061,62.68999863,32.97000122,51.72000122,71.05999756,10.37749958,14.15499973,26.65999985,46.56999969,93.87000275,24.14999962,34.95999908,24.51298141,18.45499992,45.53994751,39.11000061,44.47006607
2011-04-20,42.56000137,23.42000008,41.37666702,76.59999847,85.65000153,107.8099976,33.18999863,73.26000214,108.2799988,50.04999924,53.86000061,58.29000092,86.69750214,63.72000122,64.38999939,33.47999954,52.86000061,72.37000275,10.61250019,14.22999954,26.65999985,47.27000046,95.90000153,24.27000046,35.81000137,24.37384033,18.45000076,46.32133484,41.00999832,45.03985214
2011-04-21,42.68999863,23.62999916,41.9766655,76.79000092,86.36000061,108.1299973,33.36000061,72.91999817,109.4199982,49.90000153,54.06999969,59.13999939,86.88251495,63.27000046,64.06999969,33.41999817,52.29000092,72.25,10.72500038,14.22500038,26.67000008,47.31999969,96.55999756,24.12000084,36.04999924,24.8536396,18.36499977,46.53204727,40.65999985,45.44875717
2011-04-25,42.45000076,23.68000031,41.54999924,76.59999847,86.22000122,107.4199982,33.40000153,72.93000031,108.8499985,49.5,54.40999985,58.54999924,86.98427582,63.36999893,64.11000061,33.45000076,52.08000183,72.13999939,10.69250011,14.16499996,26.34000015,46.71500015,95.31999969,24.04999924,35.68999863,24.62333679,18.37000084,46.6812973,40.04999924,44.44325256
2011-04-26,42.86999893,24.11000061,42.1166687,77.29000092,87.41999817,108.75,33.90999985,73.44999695,111.9400024,49.84999847,57.72999954,59.58000183,87.98335266,63.83000183,64.94999695,34,52.66999817,72.63999939,10.78750038,14.38000011,26.27000046,46.98500061,98.48999786,24.03000069,36.34999847,24.83924675,18.61000061,47.25197601,40.81000137,45.22754669
2011-04-27,42.88000107,24.18000031,41.95666885,75.31999969,87.77999878,108.9700012,34.45000076,73.01000214,112.6100006,50.59000015,57.66999817,60.02999878,87.71508026,64.01999664,65.56999969,34.41999817,53.04999924,72.72000122,10.86999989,14.50500011,26.73999977,46.79999924,93.48000336,24.13999939,36.31000137,25.03596306,18.73500061,47.65583801,40.81000137,45.23424911
2011-04-28,43.16999817,24.54000092,42.44333267,74.55000305,87.33999634,108.8099976,34.79999924,72.87000275,112.6399994,50.22000122,58.34000015,60.04999924,88.51063538,64.5,65.37999725,34.70000076,53.74000168,71.55000305,10.96249962,14.625,26.60000038,47.06999969,94.11000061,24.30999947,36.34000015,25.0887413,18.86000061,47.59437943,40.68000031,45.59622955
2011-04-29,42.72000122,26.29000092,43.04000092,72.65000153,87.98000336,109.4400024,34.75,73.30000305,115.4100037,49.09999847,58.40999985,60.77000046,88.36262512,64.90000153,65.72000122,34.88999939,53.70000076,72.81999969,10.99250031,14.70499992,26.25,47.33499908,94.31999969,24.31999969,37.02000046,24.96879196,18.86000061,47.72607422,41.02000046,45.60963821
2011-05-02,42.31000137,26.17000008,43.02000046,72.63999939,86.97000122,108.1800003,34.56999969,72.25,114.3700027,48.79999924,58.02999878,60.81000137,87.66882324,65.18000031,66.20999908,34.61000061,53.83000183,73.58999634,10.90750027,14.69499969,26.37999916,47.06499863,93.31999969,23.90999985,37,25.23268127,18.82999992,48.02458191,41,45.12699509
2011-05-03,43.11999893,26.14999962,42.8833313,71.62000275,85.62000275,106.1699982,34.61000061,71.11000061,113.2699966,49.16999817,58.31000137,56.88999939,87.28955078,65.70999908,66.26000214,34.61999893,53.43000031,74.30999756,10.72000027,14.69499969,26.04999924,46.04999924,92.31999969,23.94000053,34.50999832,25.3574295,18.82500076,47.76997375,40.75,44.77841949
2011-05-04,42.77999878,26.05999947,42.6333313,72.27999878,84.80999756,104.6800003,34.20000076,70.02999878,110.7699966,49.20000076,57.75999832,55.84000015,86.11470795,66.47000122,65.66999817,34.22000122,53.15999985,73.70999908,10.44999981,14.56999969,25.76000023,45.19499969,89.98000336,24.13999939,34.72000122,25.40061188,18.64500046,47.6821785,39.65000153,43.6723671
2011-05-05,42.5,25.85000038,41.65333176,74,82.62000275,102.6200027,33.81000137,69,109.3899994,50.34000015,57.40000153,55.02999878,85.24514008,65.87999725,65.01000214,33.95000076,53.08000183,73.69000244,10.41499996,14.43000031,25.76000023,45.11999893,89.12000275,24,34.08000183,25.2230854,18.31999969,47.00614548,39.22999954,43.67906952
2011-05-06,42.34000015,26.12000084,42.09000015,73.58999634,82.69000244,102.8799973,34.04000092,70.95999908,110.3399963,50.50999832,58.15000153,55.65999985,85.56891632,65.26999664,65.26999664,34.20000076,53.61000061,74.44000244,10.50249958,14.49499989,25.63999939,45.19499969,88.90000153,24.01000023,33.97000122,25.19909668,18.24500084,47.05004501,38.97000122,43.85335541
2011-05-09,43.09999847,26.14999962,42.38000107,73.83000183,83.18000031,104.0899963,34.15000153,73.48000336,111.6600037,50,58.00999832,56.18000031,86.61424255,65.13999939,65.62999725,34.61000061,54.36000061,74.56999969,10.69999981,14.53499985,25.76000023,45.63999939,89.05000305,23.95000076,34.11000061,25.26626778,18.39500046,47.33977127,39.49000168,44.38292313
2011-05-10,43.5,26.37000084,42.78333282,75.62000275,83.33999634,104.3600006,34.63000107,74.40000153,112.8700027,50.47000122,58.29000092,55.36999893,87.64107513,65.73000336,65.76000214,34.93999863,55.22000122,74.48999786,10.84000015,14.60999966,26.20999908,45.88999939,90.26999664,24.17000008,33.40999985,25.35263252,18.70499992,47.5504837,39.75,44.78512573
2011-05-11,44.09000015,25.94000053,42.06999969,75.05999756,81.12000275,102.2600021,31.87999916,72.87000275,109.9800034,50.81000137,58.09000015,54.49000168,86.01295471,65.91999817,66.56999969,34.40999985,55.15999985,74.73999786,10.63249969,14.5,25.94000053,44.99499893,87.69999695,23.87999916,32.58000183,25.45339012,18.375,47.22563553,39.02000046,44.18852615
2011-05-12,44.93000031,26.12000084,42.67666626,74.80000305,81.05000305,102.7600021,32.04000092,71.58000183,108.6299973,51.75999832,58.33000183,54.24000168,85.3561554,66.83999634,67.19000244,34.34999847,55.90000153,74.80999756,10.47249985,14.89999962,25.97999954,44.85499954,88.52999878,24.5,32.29999924,25.68369484,18.60000038,47.9192276,39.91999817,43.94720459
2011-05-13,44.97000122,25.96999931,42.42333221,74.05999756,80.87000275,102.3899994,31.69000053,70.66999817,106.3300018,51.52000046,57.95000076,53.52999878,83.86679077,66.86000061,66.62000275,34.04999924,55.47999954,74.37000275,10.26500034,14.92000008,25.76000023,44.23500061,87.5,23.98999977,32.20000076,25.66450119,18.40500069,47.41878891,39.29999924,43.12269211
